Treatment	Plate	IVM_logged	Eggs	L1/L2	L3_larvae	Total_not_L3	Total	%_developed_to_L3	Average_%_dev_adj_by_DMSO	Adj_L3	Adj_L3_integer	Adj_non_L3_integer
Control	1	0	0	0	40	0	40	100.00	1.147817497	45.91269987	40	0
Control	1	0	9	3	105	12	117	89.74	1.030092625	120.5208372	117	0
Control	1	0	11	5	114	16	130	87.69	1.006547651	130.8511946	130	0
Control	1	0	3	13	82	16	98	83.67	0.960418722	94.12103474	94	4
Control	1	0	7	2	82	9	91	90.11	1.034297085	94.12103474	91	0
Control	1	0	7	5	92	12	104	88.46	1.015377016	105.5992097	104	0
Control	1	0	12	9	64	21	85	75.29	0.864239056	73.46031979	73	12
Control	1	0	14	4	82	18	100	82.00	0.941210347	94.12103474	94	6
IVM_aglycone	1	-0.013228266	4	5	84	9	93	90.32	1.036738384	96.41666973	93	0
IVM_aglycone	1	-0.013228266	12	4	88	16	104	84.62	0.97123019	101.0079397	101	3
IVM_aglycone	1	0.278753601	21	13	93	34	127	73.23	0.840527773	106.7470272	107	20
IVM_aglycone	1	0.278753601	20	6	96	26	122	78.69	0.903200653	110.1904797	110	12
IVM_aglycone	1	0.591064607	10	16	85	26	111	76.58	0.878959344	97.56448723	98	13
IVM_aglycone	1	0.591064607	13	27	64	40	104	61.54	0.706349229	73.46031979	73	31
IVM_aglycone	1	0.892094603	3	18	73	21	94	77.66	0.891390184	83.79067726	83	11
IVM_aglycone	1	0.892094603	17	6	54	23	77	70.13	0.80496292	61.98214483	62	15
IVM_aglycone	1	1.176091259	0	25	26	25	51	50.98	0.585161861	29.84325492	30	21
IVM_aglycone	1	1.176091259	4	38	57	42	99	57.58	0.660864619	65.42559732	65	34
IVM_aglycone	1	1.494850022	7	76	16	83	99	16.16	0.185505858	18.36507995	18	81
IVM_aglycone	1	1.494850022	8	70	19	78	97	19.59	0.224830231	21.80853244	22	75
IVM_aglycone	1	1.795880017	6	72	17	78	95	17.89	0.20539892	19.51289745	20	75
IVM_aglycone	1	1.795880017	27	78	4	105	109	3.67	0.042121743	4.591269987	5	104
IVM_aglycone	1	2.096910013	16	128	1	144	145	0.69	0.007915983	1.147817497	1	144
IVM_aglycone	1	2.096910013	17	112	1	129	130	0.77	0.008829365	1.147817497	1	129
IVM_aglycone	1	2.397940009	8	98	2	106	108	1.85	0.02125588	2.295634994	2	106
IVM_aglycone	1	2.397940009	4	99	0	103	103	0.00	0	0	0	103
IVM_aglycone	1	2.698970004	27	102	0	129	129	0.00	0	0	0	129
IVM_aglycone	1	2.698970004	40	72	0	112	112	0.00	0	0	0	112
IVM_aglycone	1	3	3	107	0	110	110	0.00	0	0	0	110
IVM_aglycone	1	3	3	82	0	85	85	0.00	0	0	0	85
IVM_aglycone	1	3.119585775	14	67	2	81	83	2.41	0.027658253	2.295634994	2	81
IVM_aglycone	1	3.119585775	5	111	0	116	116	0.00	0	0	0	116
IVM_aglycone	1	3.2955671	0	37	0	37	37	0.00	0	0	0	37
IVM_aglycone	1	3.2955671	15	71	0	86	86	0.00	0	0	0	86
IVM_aglycone	1	3.471731651	38	32	0	70	70	0.00	0	0	0	70
IVM_aglycone	1	3.471731651	37	77	0	114	114	0.00	0	0	0	114
Control	2	0	5	0	93	5	98	94.89795918	0.98425648	96.457135	96	2
Control	2	0	3	0	85	3	88	96.59090909	1.001815307	88.15974704	88	0
Control	2	0	0	1	93	1	94	98.93617021	1.026139734	96.457135	94	0
Control	2	0	6	0	112	6	118	94.91525424	0.984435859	116.1634314	116	2
Control	2	0	3	0	89	3	92	96.73913043	1.00335262	92.30844102	92	0
IVM_aglycone	2	-0.013228266	5	10	50	15	65	76.92307692	0.797825765	51.85867473	52	13
IVM_aglycone	2	-0.013228266	10	4	98	14	112	87.5	0.907526808	101.6430025	102	10
IVM_aglycone	2	0.278753601	4	0	104	4	108	96.2962963	0.998759661	107.8660434	108	0
IVM_aglycone	2	0.278753601	4	7	44	11	55	80	0.829738796	45.63563376	46	9
IVM_aglycone	2	0.591064607	2	9	104	11	115	90.43478261	0.937965595	107.8660434	108	7
IVM_aglycone	2	0.591064607	7	7	80	14	94	85.10638298	0.882700846	82.97387957	83	11
IVM_aglycone	2	0.892094603	3	16	89	19	108	82.40740741	0.854707787	92.30844102	92	16
IVM_aglycone	2	0.892094603	0	0	0	0	0	0	0	0	0	0
IVM_aglycone	2	1.176091259	0	37	72	37	109	66.05504587	0.685105428	74.67649161	75	34
IVM_aglycone	2	1.176091259	3	55	54	58	112	48.21428571	0.500065792	56.00736871	56	56
IVM_aglycone	2	1.494850022	4	71	17	75	92	18.47826087	0.191651624	17.63194941	18	74
IVM_aglycone	2	1.494850022	2	97	25	99	124	20.16129032	0.209107559	25.92933737	26	98
IVM_aglycone	2	1.795880017	0	0	0	0	0	0	0	0	0	0
IVM_aglycone	2	1.795880017	5	46	12	51	63	19.04761905	0.197556856	12.44608194	12	51
IVM_aglycone	2	2.096910013	0	88	1	88	89	1.123595506	0.011653635	1.037173495	1	88
IVM_aglycone	2	2.096910013	4	80	6	84	90	6.666666667	0.0691449	6.223040968	6	84
IVM_aglycone	2	2.397940009	6	93	4	99	103	3.883495146	0.040278582	4.148693978	4	99
IVM_aglycone	2	2.397940009	5	86	0	91	91	0	0	0	0	91
IVM_aglycone	2	2.698970004	2	103	0	105	105	0	0	0	0	105
IVM_aglycone	2	2.698970004	3	97	0	100	100	0	0	0	0	100
IVM_aglycone	2	3	7	113	0	120	120	0	0	0	0	120
IVM_aglycone	2	3	2	123	0	125	125	0	0	0	0	125
Control	3	0	3	2	70	5	75	93.33333333	1.003106481	75.23298608	75	0
Control	3	0	2	3	72	5	77	93.50649351	1.004967532	77.38249997	77	0
Control	3	0	2	1	107	3	110	97.27272727	1.045445391	114.998993	110	0
Control	3	0	9	2	90	11	101	89.10891089	0.957704208	96.72812496	97	4
Control	3	0	7	1	92	8	100	92	0.988776388	98.87763885	99	1
IVM_aglycone	3	-0.013228266	3	0	91	3	94	96.80851064	1.04045619	97.8028819	94	0
IVM_aglycone	3	-0.013228266	5	3	85	8	93	91.39784946	0.982304734	91.35434024	91	2
IVM_aglycone	3	0.278753601	3	2	101	5	106	95.28301887	1.024060862	108.5504513	106	0
IVM_aglycone	3	0.278753601	8	6	89	14	103	86.40776699	0.928673476	95.65336801	96	7
IVM_aglycone	3	0.591064607	3	6	108	9	117	92.30769231	0.992083333	116.0737499	116	1
IVM_aglycone	3	0.591064607	0	0	0	0	0	0	0	0	0	0
IVM_aglycone	3	0.892094603	10	12	51	22	73	69.8630137	0.750857591	54.81260414	55	18
IVM_aglycone	3	0.892094603	6	7	69	13	82	84.14634146	0.904368648	74.15822913	74	8
IVM_aglycone	3	1.176091259	0	23	64	23	87	73.56321839	0.790625798	68.78444441	69	18
IVM_aglycone	3	1.176091259	3	56	38	59	97	39.17525773	0.421038803	40.84076387	41	56
IVM_aglycone	3	1.494850022	5	31	57	36	93	61.29032258	0.658721998	61.26114581	61	32
IVM_aglycone	3	1.494850022	0	45	19	45	64	29.6875	0.319068468	20.42038194	20	44
IVM_aglycone	3	1.795880017	5	65	4	70	74	5.405405405	0.05809497	4.299027776	4	70
IVM_aglycone	3	1.795880017	2	57	2	59	61	3.278688525	0.035237933	2.149513888	2	59
